I want to ride a boat.	Gusto kong sumakay sa bangka.			Let's go.	Umalis na tayo.			What did Enteng and Joey write there?	Anong sinulat ni Enteng at Joey diyan?
				I did not learn anything from class.	Wala akong natutunan sa klase.			The drizzle has already stopped.	Tumila na ang ambon.
				I learned a lot from class.	Marami akong natutunan sa klase.			The rain has already stopped.	Tumila na ang ulan.
				The police runs after the thief.	Hinahabol ng pulis ang magnanakaw.			You have already had that for one year.	Isang taon nang nasa iyo yan.
				What do you want for breakfast?	Ano ang gusto mo sa almusal?			You've already had that for one year.	Isang taon nang nasa iyo yan.
				I want boiled egg.	Gusto ko ng nilagang itlog.			You have already had that since the other year.	Noong isang taon pa nasa iyo yan.
				I was asleep when you arrived.	Natutulog ako nang dumating ka.			You've already had that since the other year.	Noong isang taon pa nasa iyo yan.
				I will climb that mountain.	Aakyatin ko ang bundok na iyan.			Starting today, we will be cleaning the quadrangle.	Mula ngayon, maglilinis tayo ng quadrangle.
				Save your money in the bank.	Mag-impok ka sa bangko.			Starting today, we will be cleaning the quadrangle.	Simula ngayon, maglilinis tayo ng quadrangle.
				I feel sad without you.	Nalulungkot ako kung wala ka.			It flooded on the streets.	Bumaha sa kalsada.
				Where have you been last night?	Saan ka nanggaling kagabi?			It is flooding on the streets.	Bumabaha sa kalsada.
				Can we talk about our problem?	Maari ba nating pag-usapan ang ating problema?			It will be flooding on the streets.	Babaha sa kalsada.
				Ask money from your sibling.	Humingi ka ng pera sa kapatid mo.			The flood is deep.	Mataas ang baha.
				You are to be blamed.	Ikaw ang dapat sisihin.			The water is deep and cold.	Malalim at malamig ang tubig.
				Why me?	Bakit ako?			The flood is already deep.	Mataas na ang baha.
				Do you really love me?	Mahal mo ba akong talaga?			I hope you can swim.	Sana marunong kang lumangoy.
				The children are very noisy.	Ang mga bata ay masyadong maingay.			I wish you could swim.	Sana marunong kang lumangoy.
				Bawal pumasok dito.	No entry here.			I hope I can swim.	Sana marunong akong lumangoy.
				Do you want to go with us?	Gusto mong sumama sa amin?			I wish I could swim.	Sana marunong akong lumangoy.
				Let's eat outside.	Kumain tayo sa labas.			Nothing changed.	Walang nagbago.
				Wait for me here.	Hintayin mo ako dito.			Add it slowly.	Dahan-dahan mong idagdag.
				My vision is blur.	Malabo ang paningin ko.			Turn slowly.	Dahan-dahan sa pag-liko.
				Why are you running so fast?	Bakit ka tumatakbo ng mabilis?			Turn around quickly.	Tumalikod ka ng mabilis.
				Who is she?	Sino siya?			You should not have drunk coffee.	Hindi ka dapat uminom ng kape.
				Will you please keep quiet?	Pwede bang tumahimik kayo?			You should not be drinking coffee.	Hindi ka dapat umiinom ng kape.
				I feel dizzy.	Nahihilo ako.			You should not drink coffee at night.	Hindi ka dapat umiinom ng kape sa gabi.
				Hug me.	Yakapin mo ako.			You will be unable to sleep.	Hindi ka makakatulog.
				I was dreaming.	Nanaginip ako.			You are unable to sleep.	Hindi ka makatulog.
				My mother is crying.	Umiiyak si inay.			You were unable to sleep.	Hindi ka nakatulog.
				Where do you work?	Saan ka nagtatrabaho?			Prepare yourself.	Humanda ka.
				You are drunk again.	Lasing ka na naman.			Prepare yourselves.	Humanda kayo.
				Just kidding.	Nagbibiro lang.			Prepare your pen and paper.	Ihanda ang iyong panulat at papel.
				I was awaken by the sound of an ambulance.	Nagising ako sa tunog ng ambulansya.			Prepare your pen and paper.	Ihanda ang inyong panulat at papel.
				I'm trying hard to reach my dream.	Nagsusumikap ako ng maigi para maabot ang aking pangarap.			Make it so.	Gawin mong ganoon.
				I will join the singing contest.	Sasali ako sa paligsahan ng awit.			Know wrong from right.	Alamin ang mali sa tama.
				Ican't move.	Hindi ako makagalaw.			There is much to understand in the world.	Ang daming kailangang intindihin sa mundo.
				I'm glad I met you.	Natutuwa ako na nakilala kita.			How many repeats still need to be repeated?	Ilang ulit pa ba ang uulitin?
				Are you happy with my company?	Maligaya ka bang kasama mo ako?			How many cups of rice can you eat?	Ilang mangkok ng kanin ang kaya mong kainin?
				My friends visited me in the hospital.	Binisita ako ng mga kaibigan ko sa Ospital.			Don't force it.	Wag mo pipilitin.
				Do you have freedom?	May kalayaan ka ba?			I am doubting.	Ako ay nag-dududa.
				The children are playing in the street.	Naglalaro ang mga bata sa kalsada.			I am doubting what he said.	Ako ay nag-dududa sa sinabi niya.
				You frightened me.	Ginulat mo ako.			I am doubting.	Nag-dududa ako.
				Don't worry too much.	Huwag kang masyadong mag-alala.			Our president is great!	Ang galing ng pangulo natin!
				I learn how to write.	Natututo akong magsulat.			Our president is great!	Ang pangulo natin ay magaling!
				I cannot read it.	Hindi ko iyan mababasa.			I have my doubts.	Mayroon akong pag-aalinlangan.
				The airplane touched down the airport.	Ang eroplano ay lumapag sa paliparan.			Tumitili ang mga supporter.	The supporters are squealing.
				I envy you.	Naiingit ako sa iyo.			Sumisigaw ang mga tao.	The supporters are cheering.
				You have to fight back.	Dapat lumaban ka.			Humihiyaw ang mga tao.	The people are shouting.
				Sit down properly.	Umupo ka ng maayos.			Sumisigaw ang mga tao.	The people are shouting.
				The bus and motorcycle collided each other.	Nagbanggaan ang bus at motorsiklo.			The square has 4 corners.	Ang parisukat ay mayroong apat na sulok.
				I'm happy to serve you.	Masaya akong pagsilbihan ka.			The square has four sides.	Ang parisukat ay mayroong apat na gilid.
				Let us find a better place.	Hahanap tayo ng mabuting lugar.			The triangle has 3 sides.	Ang tatsulok ay mayroong tatlong gilid.
				He is cooking our viand.	Nagluluto siya ng ulam natin.			The triangle has three corners.	Ang tatsulok ay mayroong tatlong sulok.
				The baby has fever.	May lagnat ang sanggol.			The circle has two sides: inside and outside.	Ang bilog may dalawang gilid: loob at labas.
				The dogs are swimming in the sea.	Ang mga aso ay lumalangoy sa dagat.			The circle has no corners.	Ang bilog ay walang sulok.
				He snores loudly.	Humihilik siya ng malakas.			My height is 5 feet 6 inches.	Ang tangkad ko ay limang talampakan at anim na pulgada.
				Don't go near me.	Huwag kang lumapit sa akin.			The baggage weighs 7 kilograms.	Ang bagahe ay may timbang na pitong kilo.
				The dog is poisoned.	Nalason ang aso.			The monster has 7 feet.	Ang halimaw ay may pitong paa.
				Be careful.	Mag-ingat ka.			One meter length is needed.	Isang metrong haba ang kailangan.
